Number          RA(User)          DEC(User)         GOOD       SIG-MONO     Flux-tot       Error           Grd-axe        Pt-axe        Angle      Mass      Err-Mass     alpha_vir
45           290.9262258        14.5153444          2.64        26.38       8.34e-03      5.17e-04         6.18e-01       4.33e-01     3.78e+01    4.19       0.26          0.0348
46           290.9332126        14.509893           2.22        22.2        2.24e-01      7.16e-03         8.19e-01       6.69e-01     9.72e+01    112.55     3.59          0.0019
47           290.9275855        14.500595           2.79        27.88       6.05e-03      2.40e-04         5.48e-01       4.79e-01     1.56e+02    3.04       0.12          0.0493
48           290.9331529        14.5084755          2.67        26.65       2.11e-02      3.52e-03         6.66e-01       5.54e-01     3.80e+01    10.6       1.77          0.0166
49           290.932817         14.5105959          1.97        19.66       1.29e-02      2.33e-03         6.41e-01       4.29e-01     1.33e+00    6.48       1.17          0.0226
50           290.9329154        14.5103435          1.78        17.76       9.30e-03      4.83e-03         3.79e-01       3.57e-01     5.50e+01    4.67       2.42          0.0233
51           290.9290377        14.5156036          3.04        30.41       7.75e-03      5.08e-04         5.92e-01       5.32e-01     1.00e+02    3.89       0.26          0.0424
52           290.9335685        14.5097938          2.69        26.85       3.90e-02      8.81e-03         9.17e-01       5.62e-01     8.06e+01    19.57      4.42          0.0101
53           290.9341342        14.509524           1.76        17.56       1.09e-02      1.41e-03         5.91e-01       5.01e-01     3.61e+01    5.47       0.71          0.0289
54           290.9247283        14.5084475          2.01        20.08       6.30e-03      6.15e-04         5.22e-01       4.57e-01     7.36e+01    3.16       0.31          0.0451
55           290.9288174        14.5160065          2.95        29.53       9.47e-03      5.88e-04         9.01e-01       5.43e-01     4.68e+00    4.76       0.3           0.0404
56           290.9266622        14.5022053          2.21        22.15       5.31e-03      3.01e-04         5.53e-01       4.91e-01     6.90e+01    2.67       0.15          0.0572
57           290.9326028        14.5058724          1.39        13.89       1.52e-02      4.23e-03         6.40e-01       4.50e-01     1.62e+02    7.66       2.12          0.0197
58           290.9337035        14.5089714          2.13        21.34       1.51e-02      3.37e-03         8.03e-01       4.88e-01     1.74e+02    7.58       1.69          0.0227
59           290.930762         14.513507           2.05        20.47       4.33e-03      4.43e-04         6.06e-01       3.96e-01     9.58e+00    2.18       0.22          0.0627
60           290.9332711        14.5081076          1.62        16.18       1.25e-02      2.70e-03         5.34e-01       4.39e-01     1.68e+02    6.29       1.36          0.0223
61           290.9338052        14.5087031          1.57        15.71       4.51e-03      1.36e-03         4.11e-01       4.11e-01     1.60e+02    2.26       0.68          0.0543
62           290.9322129        14.5080483          2.11        21.11       1.02e-02      2.11e-03         7.09e-01       5.51e-01     1.11e+02    5.14       1.06          0.0349
63           290.9228256        14.5040504          3.25        32.47       2.95e-02      1.03e-03         6.89e-01       6.32e-01     1.75e+02    14.82      0.52          0.0131
64           290.9318195        14.5059354          1.38        13.78       3.52e-03      8.06e-04         4.62e-01       3.96e-01     1.78e+02    1.77       0.4           0.0705
65           290.932688         14.5084075          1.97        19.74       2.69e-02      3.36e-03         9.14e-01       6.99e-01     1.48e+02    13.51      1.69          0.0169
66           290.9429562        14.4966661          2.42        24.24       4.50e-02      1.63e-03         1.12e+00       7.32e-01     7.21e+01    22.62      0.82          0.0112
67           290.9331036        14.5092497          1.1         11.03       6.65e-02      6.36e-03         7.38e-01       5.43e-01     1.68e+02    33.4       3.19          0.0054
68           290.9336788        14.5063724          1.31        13.13       5.70e-03      9.84e-04         5.71e-01       4.39e-01     1.60e+02    2.86       0.49          0.05  
69           290.9308511        14.5096796          1.41        14.06       5.02e-03      7.01e-04         5.57e-01       4.51e-01     1.13e+01    2.52       0.35          0.0574
70           290.9242695        14.515205           1.85        18.53       1.40e-02      9.27e-04         7.04e-01       6.04e-01     8.49e+01    7.05       0.47          0.027 
71           290.9324134        14.5096558          1.28        12.8        4.71e-03      1.29e-03         3.85e-01       3.61e-01     4.32e+01    2.37       0.65          0.0466
72           290.9332295        14.5064315          1.61        16.09       8.56e-03      1.34e-03         7.94e-01       5.80e-01     8.73e+01    4.3        0.67          0.0448
73           290.9286003        14.502183           1.79        17.93       4.71e-03      4.13e-04         6.16e-01       5.02e-01     1.03e+02    2.37       0.21          0.0679
74           290.9286748        14.5162147          1.35        13.5        2.91e-03      3.11e-04         4.62e-01       4.15e-01     1.30e+02    1.46       0.16          0.0881
75           290.9245042        14.5100798          3.76        37.62       9.40e-02      3.95e-03         1.74e+00       1.40e+00     2.78e+01    47.2       1.99          0.0095
76           290.9316339        14.5084835          1.71        17.09       8.60e-03      1.18e-03         8.53e-01       5.04e-01     8.96e+01    4.32       0.59          0.0415
77           290.9312995        14.5075009          1.27        12.69       3.69e-03      8.03e-04         4.93e-01       4.50e-01     1.32e+01    1.85       0.4           0.0749
78           290.9344568        14.507684           1.44        14.36       6.28e-03      5.92e-04         6.51e-01       5.17e-01     1.76e+02    3.16       0.3           0.0529
79           290.9303038        14.5144535          1.27        12.66       3.87e-03      7.01e-04         6.02e-01       4.19e-01     1.39e+02    1.94       0.35          0.0728
80           290.9243273        14.5150489          1.76        17.56       1.08e-02      8.89e-04         6.72e-01       4.87e-01     9.34e+01    5.42       0.45          0.0299
81           290.9323901        14.508738           1.51        15.08       1.17e-02      2.76e-03         9.21e-01       6.02e-01     2.62e+01    5.89       1.38          0.0352
82           290.9339456        14.5090276          1.32        13.21       5.42e-03      1.74e-03         6.04e-01       5.08e-01     1.39e+02    2.72       0.87          0.0591
83           290.9311191        14.5099656          1.33        13.32       6.76e-03      9.91e-04         8.28e-01       5.08e-01     8.18e+01    3.4        0.5           0.0527
84           290.9341307        14.5077836          1.24        12.41       5.73e-03      1.05e-03         6.99e-01       4.65e-01     1.31e+02    2.88       0.53          0.0554
85           290.9329873        14.5111238          1.24        12.45       5.43e-03      1.13e-03         7.74e-01       5.13e-01     7.01e+01    2.73       0.57          0.0646
86           290.9306868        14.5098353          2.65        26.48       1.66e-02      1.15e-03         1.33e+00       9.29e-01     7.27e+01    8.34       0.58          0.0376
87           290.9324843        14.5131038          2.34        23.37       1.14e-02      6.84e-04         8.94e-01       8.26e-01     1.30e+02    5.72       0.34          0.0444
88           290.9342998        14.5088812          2.95        29.51       3.85e-02      3.18e-03         1.42e+00       9.94e-01     1.07e+02    19.35      1.6           0.0173
89           290.9297939        14.5144519          1.39        13.87       1.20e-02      1.12e-03         8.50e-01       6.86e-01     1.69e+02    6.05       0.56          0.0364
90           290.924977         14.510756           2.19        21.89       1.10e-02      1.61e-03         1.08e+00       6.91e-01     8.90e+00    5.54       0.81          0.0433
91           290.9266684        14.5016812          1.54        15.36       4.77e-03      4.00e-04         6.39e-01       5.43e-01     1.58e+02    2.4        0.2           0.0715
92           290.9313252        14.5089824          1.61        16.13       7.63e-03      1.32e-03         1.10e+00       6.06e-01     1.33e+02    3.83       0.66          0.0576
93           290.9319601        14.5103805          1.51        15.09       1.44e-02      1.80e-03         8.22e-01       7.44e-01     1.70e+02    7.22       0.9           0.0318
94           290.9349799        14.507543           1.23        12.33       5.74e-03      8.25e-04         8.56e-01       6.07e-01     1.49e+02    2.88       0.41          0.0706
95           290.9322315        14.508379           1.25        12.52       7.36e-03      1.56e-03         7.71e-01       5.69e-01     8.02e+01    3.7        0.78          0.051 
96           290.929572         14.5114491          1.46        14.63       7.85e-03      5.54e-04         8.39e-01       5.98e-01     7.28e+01    3.94       0.28          0.0507
97           290.9345496        14.5042336          1.19        11.86       4.40e-03      3.73e-04         7.47e-01       4.73e-01     4.81e+01    2.21       0.19          0.0745
98           290.9320801        14.5070376          1.2         11.96       9.10e-03      2.14e-03         6.25e-01       4.12e-01     2.86e+01    4.57       1.07          0.031 
99           290.9323211        14.5105982          1.17        11.68       9.56e-03      1.56e-03         7.56e-01       6.22e-01     1.49e+02    4.8        0.78          0.0414
100          290.9270421        14.5099557          1.15        11.47       2.45e-03      6.15e-04         5.23e-01       4.57e-01     1.16e+02    1.23       0.31          0.116 
101          290.931701         14.5081901          1.71        17.15       1.63e-02      1.58e-03         8.96e-01       7.97e-01     1.25e+02    8.16       0.79          0.0304
102          290.9353014        14.5141999          2.49        24.91       1.63e-02      6.76e-04         1.37e+00       8.68e-01     8.55e+01    8.18       0.34          0.0369
103          290.9344242        14.5043974          1.13        11.32       4.11e-03      3.76e-04         6.90e-01       4.93e-01     1.80e+02    2.06       0.19          0.08  
104          290.9337888        14.5077169          1.15        11.53       6.54e-03      1.72e-03         5.86e-01       4.65e-01     1.62e+02    3.28       0.86          0.0457
105          290.9312983        14.5113865          1.16        11.55       5.70e-03      6.30e-04         6.89e-01       5.46e-01     1.52e+02    2.86       0.32          0.0617
106          290.9278397        14.5008118          1.2         12.04       5.49e-03      4.07e-04         9.20e-01       5.59e-01     4.25e+01    2.76       0.2           0.0716
107          290.9280651        14.5010704          1.12        11.24       3.26e-03      3.56e-04         6.58e-01       5.32e-01     4.42e+01    1.64       0.18          0.1042
108          290.9359586        14.5072873          1.24        12.36       2.59e-03      5.56e-04         8.31e-01       4.43e-01     2.02e+01    1.3        0.28          0.1255
109          290.9243711        14.5148675          2.21        27.74       2.81e-02      1.35e-03         1.55e+00       6.87e-01     2.70e+01    14.1       0.68          0.0191
110          290.9427874        14.4971954          1.17        11.7        9.37e-03      1.29e-03         6.66e-01       4.44e-01     1.44e+02    4.71       0.65          0.0323
